ID PLU 210013,Medio,url website,Nac/Loc/HLoc,Región Origen,Comuna Origen,Propiedad Legal,Twitter,Facebook,Instagram,Personero-Propiedad,Origen medial,Plataformas mediales,Youtube,Plataformas mediales,
46,Mapuexpress,https://www.mapuexpress.org/,N,Araucanía,Temuco,Colectivo de Comunicacion Mapuche Mapuexpress,https://twitter.com/mapuexpress,https://www.facebook.com/Mapuexpress.org/,https://www.instagram.com/mapuexpress/,,Periodico Digital,Digital,https://www.youtube.com/channel/UCAFfqLGTF2tp0atLlkKtAQA,Digital,
47,Radio Nuevo Mundo,https://www.radionuevomundo.cl/,N,Metropolitana,Santiago,Compañía de Radio y TV Nuevo Mundo S.A,https://twitter.com/RNuevoMundo,https://www.facebook.com/RadioNuevoMundo/,https://www.instagram.com/rnuevomundo/,Jorge Tellier,Radio,Radio + Portal Internet,,Radio + Portal Internet,
48,El Definido,www.eldefinido.cl/,N,Metropolitana,Providencia,El Definido,https://twitter.com/eldefinido,https://www.facebook.com/ElDefinido/,https://www.instagram.com/eldefinido/,Cristian Mackenna,Periodico Digital,Web,https://www.youtube.com/channel/UCroDaeqzWnOoQQ4fEWoR2FA,Web,
49,Diario Pulso,http://www.pulso.cl/,N,Metropolitana,Ñuñoa,Grupo Copesa,https://twitter.com/pulso_tw,https://www.facebook.com/PulsoChile/,https://www.instagram.com/lt_pulso/,Alvaro Sahie,Periodico Digital,"Papel, digital, WebTv",N.E,"Papel, digital, WebTv",
50,El Periodista,https://www.elperiodista.cl/,N,Metropolitana,Santiago,El Periodista S.A,https://twitter.com/ElPeriodista,https://www.facebook.com/revistaelperiodista2/,https://www.instagram.com/epelperiodista/,Francisco Martorell-Eugenio Gonzalez A.- Rosalinda Arellano V,Diario Papel,Digital,https://www.youtube.com/channel/UCP72ne312mridrFfFzpAgDA,Digital,
51,Resumen,https://resumen.cl/,N,del BioBío,Concepción,Centro Cultural Ilcep,https://twitter.com/rsumen,https://www.facebook.com/PeriodicoResumenConcepcion/,https://www.instagram.com/resumen.cl/,Felipe Soto Cortés,Diario Papel,periodico online e impreso,https://www.youtube.com/user/resumentelevision,periodico online e impreso,
52,El Observatodo,http://www.elobservatodo.cl,R,de Coquimbo,Coquimbo,Grupo Mi Voz Red de Diarios Ciudadanos,https://twitter.com/elobservatodo,https://www.facebook.com/elobservatodocl/,https://www.instagram.com/elobservatodo.cl/,Jorge Domínguez Larraín,Periodico Digital,"Portal internet, tv digital",https://www.youtube.com/user/elobservatodo,"Portal internet, tv digital",
53,El Naveghable,http://www.elnaveghable.cl,R,Los Ríos,Valdivia,Grupo Mi Voz Red de Diarios Ciudadanos,https://twitter.com/elnaveghable,https://www.facebook.com/elnaveghablecl/,https://www.instagram.com/elnaveghable.cl/,Jorge Domínguez Larraín,Periodico Digital,"Portal internet, tv digital",https://www.youtube.com/user/diarioelnaveghable,"Portal internet, tv digital",
54,El Magallanews,http://www.elmagallanews.cl/,R,Magallanes,Punta Arenas,Grupo Mi Voz Red de Diarios Ciudadanos,https://twitter.com/elmagallanews,https://www.facebook.com/elmagallanewscl/,https://www.instagram.com/elmagallanews.cl/,Jorge Domínguez Larraín,Periodico Digital,Portal- Internet,https://www.youtube.com/user/magallanews,Portal- Internet,
55,El Concecuente,http://www.elconcecuente.cl/,R,del BioBío,Concepción,Grupo Mi Voz Red de Diarios Ciudadanos,https://twitter.com/elconcecuente,https://www.facebook.com/elconcecuentecl/,https://www.instagram.com/elconcecuente.cl/,Jorge Domínguez Larraín,Periodico Digital,Portal- Internet,https://www.youtube.com/user/diarioelconcecuente/about,Portal- Internet,
56,El Boyaldia,http://www.elboyaldia.cl/,R,Tarapaca,Iquique,Grupo Mi Voz Red de Diarios Ciudadanos,https://twitter.com/ElBoyaldia,https://www.facebook.com/elboyaldiacl/,https://www.instagram.com/elboyaldia.cl/,Jorge Domínguez Larraín,Periodico Digital,Portal-Internet,https://www.youtube.com/user/elboyaldia,Portal-Internet,
57,El Amaule,http://www.elamaule.cl/,R,Maule,Talca,Grupo Mi Voz Red de Diarios Ciudadanos,https://twitter.com/elamaule,https://www.facebook.com/elamaulecl/,https://www.instagram.com/elamaule.cl/,Jorge Domínguez Larraín,Periodico Digital,Portal-Internet,N.E,Portal-Internet,
58,El Repuertero,http://www.elrepuertero.cl/,R,de Los Lagos,Llanquihue,Grupo Mi Voz Red de Diarios Ciudadanos,https://twitter.com/elrepuertero,https://www.facebook.com/elrepuerterocl/,https://www.instagram.com/elrepuertero.cl/,Jorge Domínguez Larraín,Periodico Digital,Digital Portal-Web,https://www.youtube.com/user/DiarioElRepuertero,Digital Portal-Web,
59,El Quehaydecierto,http://www.elquehaydecierto.cl/,R,Atacama,Copiapó,Grupo Mi Voz Red de Diarios Ciudadanos,https://twitter.com/elqhaydecierto,https://www.facebook.com/elquehaydeciertocl/,https://www.instagram.com/elquehaydecierto.cl/,Jorge Domínguez Larraín,Periodico Digital,Portal-Internet,N.E,Portal-Internet,
60,El Rancahuaso,http://www.elrancahuaso.cl/,R,de O'Higgings,Rancagua,Grupo Mi Voz Red de Diarios Ciudadanos,https://twitter.com/elrancahuaso,https://www.facebook.com/elrancahuasocl/,https://www.instagram.com/elrancahuaso.cl/,Jorge Domínguez Larraín,Periodico Digital,,N.E,,
61,El Vacanudo,http://www.elvacanudo.cl/,R,de Los Lagos,Osorno,Grupo Mi Voz Red de Diarios Ciudadanos,https://twitter.com/elvacanudo,https://www.facebook.com/elvacanudocl/,https://www.instagram.com/elvacanudo.cl,Jorge Domínguez Larraín,Periodico Digital,Portal-Web,https://www.youtube.com/user/elvacanudo,Portal-Web,
62,La Opiñón,http://www.laopinon.cl,R,Araucanía,Santiago,Inversiones y Publicaciones Comunidades Ciudadanas S.A.,https://twitter.com/laopinon,https://www.facebook.com/laopinoncl/,https://www.instagram.com/laopinon.cl/,,Periodico Digital,Portal-Internet,N.E,Portal-Internet,
63,Canal TVU,http://www.tvu.cl/,R,del BioBío,Concepcion,Holding Octava Comunicaciones S.A.,http://twitter.com/TVU_television,https://www.facebook.com/TVUCanal/,https://www.instagram.com/tvu_television/,,TV Abierta,Tv Abierta/Cable/Portal-Internet,https://www.youtube.com/user/webtvu,Tv Abierta/Cable/Portal-Internet,
64,El Morrocotudo,https://www.elmorrocotudo.cl,R,Arica y Parinacota,Arica,Grupo Mi Voz Red de Diarios Ciudadanos,http://twitter.com/elmorrocotudo,https://www.facebook.com/elmorrocotudocl/,https://www.instagram.com/elmorrocotudo.cl/,Grupo Mi Voz Red de Diarios Ciudadanos,Periodico Digital,"Portal internet, tv digital",https://www.youtube.com/playlist?list=PL4620F36134471B24,"Portal internet, tv digital",
65,El nortero,https://www.elnortero.cl,R,de Antofagasta,Antofagasta,Grupo Mi Voz Red de Diarios Ciudadanos,http://twitter.com/elnortero,https://www.facebook.com/elnorterocl/,https://www.instagram.com/elnortero.cl/,Jorge Domínguez Larraín,Periodico Digital,"Portal internet, tv digital",https://www.youtube.com/user/elnortero,"Portal internet, tv digital",
66,El Martutino,http://www.elmartutino.cl,R,de Valparaiso,Valparaíso,Grupo Mi Voz Red de Diarios Ciudadanos,http://twitter.com/elmartutino,https://www.facebook.com/elmartutinocl/,https://www.instagram.com/elmartutino.cl/,Jorge Domínguez Larraín,Periodico Digital,"Portal Internet,",https://www.youtube.com/user/elmartutino,"Portal Internet,",
67,Alamedia,https://www.alamedia.cl/,R,Metropolitana,Santiago,Grupo Mi Voz Red de Diarios Ciudadanos,http://twitter.com/alamediaCL,https://www.facebook.com/alamediacl/,https://www.instagram.com/alamedia.cl/,Jorge Domínguez Larraín,Periodico Digital,"Portal Internet,",,"Portal Internet,",
68,La Discusión de Chillan,http://www.ladiscusion.cl/,R,Ñuble,Chillán,La Discusión SA,http://twitter.com/ladiscusioncl,https://www.facebook.com/ladiscusioncl/,https://www.instagram.com/ladiscusion.cl/,Daniel Sepúlveda Henriquez,Diario Papel,"Diario-Papel, Porta Internet",https://www.youtube.com/channel/UCqbwbvBtHPmrgbvVkSSpuqw,"Diario-Papel, Porta Internet",
69,El Epicentro,http://www.elepicentro.cl,R,de Valparaiso,Valparaíso,Consorcio Periodístico El Epicentro S.A,http://twitter.com/elepicentro,https://www.facebook.com/elepicentrocl/,https://www.instagram.com/elepicentro.cl/,Alex Molina,Diario Papel,"Diario, Portal- Internet",N.E,"Diario, Portal- Internet",
70,El Divisadero Coihayque,https://www.eldivisadero.cl/home,R,de Aysen,Coyhaique,El Divisadero,http://twitter.com/ddivisadero,https://www.facebook.com/eldivisadero/,https://www.instagram.com/eldivisadero.cl/,Hugo Araya,Diario Papel,"Diario, Portal- Internet",https://www.youtube.com/channel/UCnD5bmhuKxdF5pTtTofY-8A,"Diario, Portal- Internet",
71,Diario El Dia (Reg Coquimbo) ,http://www.diarioeldia.cl/,R,de Coquimbo,La Serena,Diario ELDIA,http://twitter.com/eldia_cl,https://www.facebook.com/diarioeldiacl/,https://www.instagram.com/eldia.cl/,,Diario Papel,"Diario-papel, Portal internet",https://www.youtube.com/user/eldiacl,"Diario-papel, Portal internet",
72,El Austral de la Araucanía,http://www.australtemuco.cl/,R,Araucanía,Temuco,El Mercurio S.A.P,http://twitter.com/AustralTemuco,https://www.facebook.com/australtemuco/,https://www.instagram.com/australaraucania/,Agustin Edwards,Diario Papel,Portal-Internet,https://www.youtube.com/user/soytemuco,Portal-Internet,
73,El Mercurio Valpo,http://www.soychile.cl/valparaiso/,R,de Valparaiso,Valparaíso,El Mercurio S.A.P,http://twitter.com/soyvalparaiso,https://www.facebook.com/mercuriovalpo/,https://www.instagram.com/mercuriovalpo/,Agustin Edwards,Diario Papel,"Diario-papel, portal internet",https://www.youtube.com/user/mercuriovalp,"Diario-papel, portal internet",
74,El  Austral Osorno,http://www.soychile.cl/osorno/,R,de Los Lagos,Osorno,El Mercurio S.A.P,http://twitter.com/austral_osorno,https://www.facebook.com/australosorno/,https://www.instagram.com/australdeosorno/,Agustin Edwards,Diario Papel,Portal-Internet,https://www.youtube.com/user/soyosorno/videos,Portal-Internet,
75,El Trabajo de Aconcagua,http://www.eltrabajo.cl/portal/,R,de Valparaiso,San Felipe ,El Trabajo,http://twitter.com/diarioeltrabajo,https://www.facebook.com/ElTrabajoDiario/,https://www.instagram.com/diario_el_trabajo/,Marco Antonio Juri,Diario Papel,Diario-Papel,N.E,Diario-Papel,
76,La Prensa Austral,http://www.laprensaaustral.cl/,R,Magallanes,Punta Arenas ,Empresa de Publicaciones La Prensa Austral S.A.,http://twitter.com/LaPrensAustral,https://www.facebook.com/laprensaaustral/,https://www.instagram.com/la_prensa_austral/,,Diario Papel,"Diario-Papel, Portal-Internet, Radio",www.youtube.com/channel/UCO-R148IW6EHcp-0IGxqi-A,"Diario-Papel, Portal-Internet, Radio",
77,La Prensa de Curicó,http://www.diariolaprensa.cl/,R,Maule,Curicó,Empresa Periodística Curicó Ltda.,http://twitter.com/laprensacurico,https://www.facebook.com/laprensacurico/,https://www.instagram.com/diariolaprensa.cl/,,Diario Papel,"Diario-Papel, Portal-Internet",N.E,"Diario-Papel, Portal-Internet",
78,El Pingüino de Magallanes,https://elpinguino.com/,R,Magallanes,Punta Arenas,Patagonica Publicaciones S.A.,http://twitter.com/pinguinodiario,https://www.facebook.com/pinguinomultimedia/,https://www.instagram.com/el_pinguino_multimedia/,,Diario Papel,"Diario-papel, radio, tv, portal internet",https://www.youtube.com/user/pinguinomultimedia,"Diario-papel, radio, tv, portal internet",
79,Diario La Región ,http://www.diariolaregion.cl/portal/,R,de Coquimbo,Coquimbo,Sociedad Periodistica Guayacan,http://twitter.com/LaRegionDiario,https://www.facebook.com/LaRegionDiario/,https://www.instagram.com/diariolaregion_oficial/,Luis Villagran,Diario Papel,Diario papel e Internet,N.E,Diario papel e Internet,
80,Diario Concepción,https://www.diarioconcepcion.cl/,R,del BioBío,Concepción ,UdeC - Grupo Copesa,http://twitter.com/Diarioconce,https://www.facebook.com/diarioconcepcion/,https://www.instagram.com/diarioconcepcion/,,Diario Papel,"Diario-papel, Portal internet",https://www.youtube.com/user/diarioconcepcion,"Diario-papel, Portal internet",
81,Elqui Global,http://www.elquiglobal.cl/,R,de Coquimbo,Elqui ,CEPT Comunicaciones,http://twitter.com/Elquiglobal,https://www.facebook.com/Elquiglobalcl/,https://www.instagram.com/elquiglobal/,,Diario Papel,Portal Internet,https://www.youtube.com/channel/UCjc1KwgrlCXbupsFrwD6I3Q,Portal Internet,
82,Maule Noticias,http://www.maulenoticias.cl/,R,Maule,Talca ,N.E,http://twitter.com/MauleNoticias,https://www.facebook.com/MauleNoticiasOficial/,https://www.instagram.com/maulenoticias/,,N.E,N.E,https://www.youtube.com/channel/UCLbFmKaCBmVvrGDqD1zuu1g,N.E,
